"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1679450671277",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1679451914355",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1679703670806",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","ShowYourWork Init","","","1679708130941",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","Enter",,,"1679712649174","Plan.md","1.1.5 for 2021-2022 @t1",,"Enter",,,,,
"File.Edit","# Cookery

A simple dinner idea picker using Django and the Spoontastic API.

## Requirements

- Display a list of recipes at the index.
- Have a pick button that sends you to the detail view for one of them.
- Pick a random dinner either from a database of the user's own recipes or from
the api.
- Save recipes to the database and get them out.
- Fetch recipes from the API?

## Models

**Recipe:**
- name
- instructions : String

**Ingredient**
- name
- recipe : many-to-many

## View Functions

- index : Returns the HTML for the recipe list

- new_recipe : Returns HTML for the form to put in a new recipe
- recipe_detail : Returns HTML for the details of a specific recipe

","","0","1679712649192","Plan.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","- ","","546","1679712649198","Plan.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Tab",,,"1679712649267","Plan.md","1.1.5 for 2021-2022 @t1",,"Tab",,,,,
"File.Edit","  ","","546","1679712649271","Plan.md","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","Backspace",,,"1679712651647","Plan.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit",""," ","549","1679712651651","Plan.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1679712651832","Plan.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
"File.Edit","","-","548","1679712651834","Plan.md","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"X-Action","Backspace",,,"1679712652036","Plan.md","1.1.5 for 2021-2022 @t1",,"Backspace",,,,,
